1068002 function calls in 31.311 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {method 'pos' of 'PySide2.QtGui.QMouseEvent' objects}
    26962    0.014    0.000    0.014    0.000 {method 'pos' of 'PySide2.QtWidgets.QGraphicsItem' objects}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      492    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      968    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
      976    0.010    0.000    0.015    0.000 {method 'removeItem' of 'PySide2.QtWidgets.QGraphicsScene' objects}
      859    0.003    0.000    0.003    0.000 {method 'renderer' of 'PySide2.QtSvg.QSvgWidget' objects}
     1126    0.065    0.000    0.649    0.001 {method 'repaint' of 'PySide2.QtWidgets.QWidget' objects}
        3    0.000    0.000    0.000    0.000 {method 'resize' of 'PySide2.QtWidgets.QWidget' objects}
      861    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      861    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {method 'scale' of 'PySide2.QtGui.QTransform' objects}
        8    0.185    0.023    0.186    0.023 {method 'scale' of 'PySide2.QtWidgets.QGraphicsView' objects}
     1468    0.000    0.000    0.000    0.000 {method 'scene' of 'PySide2.QtWidgets.QGraphicsItem' objects}
       42    0.000    0.000    0.000    0.000 {method 'scene' of 'PySide2.QtWidgets.QGraphicsView' objects}
        6    0.000    0.000    0.000    0.000 {method 'screenPos' of 'PySide2.QtGui.QMouseEvent' objects}
     1767    0.001    0.000    0.001    0.000 {method 'setAlignment' of 'PySide2.QtGui.QTextOption' objects}
     3426    0.002    0.000    0.002    0.000 {method 'setAlignment' of 'PySide2.QtWidgets.QLabel' objects}
      859    0.001    0.000    0.001    0.000 {method 'setAspectRatioMode' of 'PySide2.QtSvg.QSvgRenderer' objects}
       12    0.000    0.000    0.000    0.000 {method 'setBackgroundBrush' of 'PySide2.QtWidgets.QGraphicsScene' objects}
        2    0.000    0.000    0.000    0.000 {method 'setBottom' of 'PySide2.QtGui.QDoubleValidator' objects}
        1    0.000    0.000    0.000    0.000 {method 'setBottom' of 'PySide2.QtGui.QIntValidator' objects}
    49109    0.025    0.000    0.025    0.000 {method 'setBrush' of 'PySide2.QtGui.QPainter' objects}
     1055    0.001    0.000    0.001    0.000 {method 'setContentsMargins' of 'PySide2.QtWidgets.QGraphicsWidget' objects}
     1058    0.001    0.000    0.001    0.000 {method 'setContentsMargins' of 'PySide2.QtWidgets.QLayout' objects}
        1    0.000    0.000    0.000    0.000 {method 'setContextMenuPolicy' of 'PySide2.QtWidgets.QWidget' objects}
        4    0.000    0.000    0.000    0.000 {method 'setCurrentText' of 'PySide2.QtWidgets.QComboBox' objects}
     7077    0.347    0.000    0.347    0.000 {method 'setDefaultTextColor' of 'PySide2.QtWidgets.QGraphicsTextItem' objects}
     1767    0.016    0.000    0.016    0.000 {method 'setDefaultTextOption' of 'PySide2.QtGui.QTextDocument' objects}
       10    0.000    0.000    0.000    0.000 {method 'setDragMode' of 'PySide2.QtWidgets.QGraphicsView' objects}
        1    0.003    0.003    0.003    0.003 {method 'setEditable' of 'PySide2.QtWidgets.QComboBox' objects}
        1    0.000    0.000    0.000    0.000 {method 'setFixedHeight' of 'PySide2.QtWidgets.QWidget' objects}
        3    0.000    0.000    0.000    0.000 {method 'setFixedWidth' of 'PySide2.QtWidgets.QWidget' objects}
     2606    0.002    0.000    0.002    0.000 {method 'setFlag' of 'PySide2.QtWidgets.QGraphicsItem' objects}
     7077    0.043    0.000    0.043    0.000 {method 'setFont' of 'PySide2.QtWidgets.QGraphicsTextItem' objects}
     5536    0.027    0.000    0.027    0.000 {method 'setFont' of 'PySide2.QtWidgets.QWidget' objects}
     4496    0.037    0.000    0.037    0.000 {method 'setGeometry' of 'PySide2.QtWidgets.QGraphicsProxyWidget' objects}
        1    0.000    0.000    0.000    0.000 {method 'setGeometry' of 'PySide2.QtWidgets.QWidget' objects}
       16    0.000    0.000    0.000    0.000 {method 'setHeight' of 'PySide2.QtCore.QRectF' objects}
        1    0.000    0.000    0.000    0.000 {method 'setHorizontalScrollBarPolicy' of 'PySide2.QtWidgets.QAbstractScrollArea' objects}
     1059    0.020    0.000    0.020    0.000 {method 'setLayout' of 'PySide2.QtWidgets.QWidget' objects}
        2    0.000    0.000    0.000    0.000 {method 'setMaximum' of 'PySide2.QtWidgets.QAbstractSlider' objects}
        1    0.000    0.000    0.000    0.000 {method 'setMinimum' of 'PySide2.QtWidgets.QAbstractSlider' objects}
     5607    0.002    0.000    0.002    0.000 {method 'setPath' of 'PySide2.QtWidgets.QGraphicsPathItem' objects}
    49109    0.021    0.000    0.021    0.000 {method 'setPen' of 'PySide2.QtGui.QPainter' objects}
     6221    0.217    0.000    0.217    0.000 {method 'setPlainText' of 'PySide2.QtWidgets.QGraphicsTextItem' objects}
        2    0.000    0.000    0.000    0.000 {method 'setPlainText' of 'PySide2.QtWidgets.QPlainTextEdit' objects}
    11558    0.008    0.000    0.008    0.000 {method 'setPointSize' of 'PySide2.QtGui.QFont' objects}
    15011    0.014    0.000    0.014    0.000 {method 'setPos' of 'PySide2.QtWidgets.QGraphicsItem' objects}
        1    0.000    0.000    0.000    0.000 {method 'setProfile' of 'PySide2.QtOpenGL.QGLFormat' objects}
        1    0.000    0.000    0.000    0.000 {method 'setRenderHints' of 'PySide2.QtWidgets.QGraphicsView' objects}
       12    0.000    0.000    0.000    0.000 {method 'setSceneRect' of 'PySide2.QtWidgets.QGraphicsScene' objects}
        9    0.000    0.000    0.000    0.000 {method 'setShortcut' of 'PySide2.QtWidgets.QAction' objects}
     8762    0.427    0.000    0.427    0.000 {method 'setStyleSheet' of 'PySide2.QtWidgets.QWidget' objects}
     6732    0.031    0.000    0.031    0.000 {method 'setText' of 'PySide2.QtWidgets.QLabel' objects}
     2108    0.027    0.000    0.027    0.000 {method 'setText' of 'PySide2.QtWidgets.QLineEdit' objects}
     1767    0.014    0.000    0.014    0.000 {method 'setTextWidth' of 'PySide2.QtWidgets.QGraphicsTextItem' objects}
        1    0.000    0.000    0.000    0.000 {method 'setTickInterval' of 'PySide2.QtWidgets.QSlider' objects}
        1    0.000    0.000    0.000    0.000 {method 'setTickPosition' of 'PySide2.QtWidgets.QSlider' objects}
        2    0.000    0.000    0.000    0.000 {method 'setTitle' of 'PySide2.QtWidgets.QMenu' objects}
       17    0.000    0.000    0.000    0.000 {method 'setTransform' of 'PySide2.QtWidgets.QGraphicsView' objects}
        1    0.000    0.000    0.000    0.000 {method 'setTransformationAnchor' of 'PySide2.QtWidgets.QGraphicsView' objects}
      725    0.001    0.000    0.001    0.000 {method 'setValidator' of 'PySide2.QtWidgets.QLineEdit' objects}
     1160    0.003    0.000    0.003    0.000 {method 'setValue' of 'PySide2.QtWidgets.QAbstractSlider' objects}
        1    0.000    0.000    0.000    0.000 {method 'setVersion' of 'PySide2.QtOpenGL.QGLFormat' objects}
        1    0.000    0.000    0.000    0.000 {method 'setVerticalScrollBarPolicy' of 'PySide2.QtWidgets.QAbstractScrollArea' objects}
        1    0.000    0.000    0.000    0.000 {method 'setViewportUpdateMode' of 'PySide2.QtWidgets.QGraphicsView' objects}
